case_name,status,final_time,mesh_ok,n_pressure_samples,dataset_split,water_height_m,obstacle_height_m,obstacle_front_x_m
surrGrid_H0240_obsH0030_x0220,completed,1.5,yes,300,training_grid,0.24,0.03,0.22
surrGrid_H0240_obsH0030_x0250,completed,1.5,yes,300,training_grid,0.24,0.03,0.25
surrGrid_H0240_obsH0030_x0275,completed,1.5,yes,300,training_grid,0.24,0.03,0.275
surrGrid_H0240_obsH0030_x0292,completed,1.5,yes,300,training_grid,0.24,0.03,0.292
surrGrid_H0240_obsH0030_x0320,completed,1.5,yes,300,training_grid,0.24,0.03,0.32
surrGrid_H0240_obsH0030_x0350,completed,1.5,yes,300,training_grid,0.24,0.03,0.35
surrGrid_H0240_obsH0030_x0380,completed,1.5,yes,300,training_grid,0.24,0.03,0.38
surrGrid_H0240_obsH0036_x0220,completed,1.5,yes,300,training_grid,0.24,0.036,0.22
surrGrid_H0240_obsH0036_x0250,completed,1.5,yes,300,training_grid,0.24,0.036,0.25
surrGrid_H0240_obsH0036_x0275,completed,1.5,yes,300,training_grid,0.24,0.036,0.275
surrGrid_H0240_obsH0036_x0292,completed,1.5,yes,300,training_grid,0.24,0.036,0.292
surrGrid_H0240_obsH0036_x0320,completed,1.5,yes,300,training_grid,0.24,0.036,0.32
surrGrid_H0240_obsH0036_x0350,completed,1.5,yes,300,training_grid,0.24,0.036,0.35
surrGrid_H0240_obsH0036_x0380,completed,1.5,yes,300,training_grid,0.24,0.036,0.38
surrGrid_H0240_obsH0042_x0220,completed,1.5,yes,300,training_grid,0.24,0.042,0.22
surrGrid_H0240_obsH0042_x0250,completed,1.5,yes,300,training_grid,0.24,0.042,0.25
surrGrid_H0240_obsH0042_x0275,completed,1.5,yes,300,training_grid,0.24,0.042,0.275
surrGrid_H0240_obsH0042_x0292,completed,1.5,yes,300,training_grid,0.24,0.042,0.292
surrGrid_H0240_obsH0042_x0320,completed,1.5,yes,300,training_grid,0.24,0.042,0.32
surrGrid_H0240_obsH0042_x0350,completed,1.5,yes,300,training_grid,0.24,0.042,0.35
surrGrid_H0240_obsH0042_x0380,completed,1.5,yes,300,training_grid,0.24,0.042,0.38
surrGrid_H0240_obsH0048_x0220,completed,1.5,yes,300,training_grid,0.24,0.048,0.22
surrGrid_H0240_obsH0048_x0250,completed,1.5,yes,300,training_grid,0.24,0.048,0.25
surrGrid_H0240_obsH0048_x0275,completed,1.5,yes,300,training_grid,0.24,0.048,0.275
surrGrid_H0240_obsH0048_x0292,completed,1.5,yes,300,training_grid,0.24,0.048,0.292
surrGrid_H0240_obsH0048_x0320,completed,1.5,yes,300,training_grid,0.24,0.048,0.32
surrGrid_H0240_obsH0048_x0350,completed,1.5,yes,300,training_grid,0.24,0.048,0.35
surrGrid_H0240_obsH0048_x0380,completed,1.5,yes,300,training_grid,0.24,0.048,0.38
surrGrid_H0240_obsH0060_x0220,completed,1.5,yes,300,training_grid,0.24,0.06,0.22
surrGrid_H0240_obsH0060_x0250,completed,1.5,yes,300,training_grid,0.24,0.06,0.25
surrGrid_H0240_obsH0060_x0275,completed,1.5,yes,300,training_grid,0.24,0.06,0.275
surrGrid_H0240_obsH0060_x0292,completed,1.5,yes,300,training_grid,0.24,0.06,0.292
surrGrid_H0240_obsH0060_x0320,completed,1.5,yes,300,training_grid,0.24,0.06,0.32
surrGrid_H0240_obsH0060_x0350,completed,1.5,yes,300,training_grid,0.24,0.06,0.35
surrGrid_H0240_obsH0060_x0380,completed,1.5,yes,300,training_grid,0.24,0.06,0.38
surrGrid_H0240_obsH0066_x0220,completed,1.5,yes,300,training_grid,0.24,0.066,0.22
surrGrid_H0240_obsH0066_x0250,completed,1.5,yes,300,training_grid,0.24,0.066,0.25
surrGrid_H0240_obsH0066_x0275,completed,1.5,yes,300,training_grid,0.24,0.066,0.275
surrGrid_H0240_obsH0066_x0292,completed,1.5,yes,300,training_grid,0.24,0.066,0.292
surrGrid_H0240_obsH0066_x0320,completed,1.5,yes,300,training_grid,0.24,0.066,0.32
surrGrid_H0240_obsH0066_x0350,completed,1.5,yes,300,training_grid,0.24,0.066,0.35
surrGrid_H0240_obsH0066_x0380,completed,1.5,yes,300,training_grid,0.24,0.066,0.38
surrGrid_H0240_obsH0072_x0220,completed,1.5,yes,300,training_grid,0.24,0.072,0.22
surrGrid_H0240_obsH0072_x0250,completed,1.5,yes,300,training_grid,0.24,0.072,0.25
surrGrid_H0240_obsH0072_x0275,completed,1.5,yes,300,training_grid,0.24,0.072,0.275
surrGrid_H0240_obsH0072_x0292,completed,1.5,yes,300,training_grid,0.24,0.072,0.292
surrGrid_H0240_obsH0072_x0320,completed,1.5,yes,300,training_grid,0.24,0.072,0.32
surrGrid_H0240_obsH0072_x0350,completed,1.5,yes,300,training_grid,0.24,0.072,0.35
surrGrid_H0240_obsH0072_x0380,completed,1.5,yes,300,training_grid,0.24,0.072,0.38
surrGrid_H0250_obsH0030_x0220,completed,1.5,yes,300,training_grid,0.25,0.03,0.22
surrGrid_H0250_obsH0030_x0250,completed,1.5,yes,300,training_grid,0.25,0.03,0.25
surrGrid_H0250_obsH0030_x0275,completed,1.5,yes,300,training_grid,0.25,0.03,0.275
surrGrid_H0250_obsH0030_x0292,completed,1.5,yes,300,training_grid,0.25,0.03,0.292
surrGrid_H0250_obsH0030_x0320,completed,1.5,yes,300,training_grid,0.25,0.03,0.32
surrGrid_H0250_obsH0030_x0350,completed,1.5,yes,300,training_grid,0.25,0.03,0.35
surrGrid_H0250_obsH0030_x0380,completed,1.5,yes,300,training_grid,0.25,0.03,0.38
surrGrid_H0250_obsH0036_x0220,completed,1.5,yes,300,training_grid,0.25,0.036,0.22
surrGrid_H0250_obsH0036_x0250,completed,1.5,yes,300,training_grid,0.25,0.036,0.25
surrGrid_H0250_obsH0036_x0275,completed,1.5,yes,300,training_grid,0.25,0.036,0.275
surrGrid_H0250_obsH0036_x0292,completed,1.5,yes,300,training_grid,0.25,0.036,0.292
surrGrid_H0250_obsH0036_x0320,completed,1.5,yes,300,training_grid,0.25,0.036,0.32
surrGrid_H0250_obsH0036_x0350,completed,1.5,yes,300,training_grid,0.25,0.036,0.35
surrGrid_H0250_obsH0036_x0380,completed,1.5,yes,300,training_grid,0.25,0.036,0.38
surrGrid_H0250_obsH0042_x0220,completed,1.5,yes,300,training_grid,0.25,0.042,0.22
surrGrid_H0250_obsH0042_x0250,completed,1.5,yes,300,training_grid,0.25,0.042,0.25
surrGrid_H0250_obsH0042_x0275,completed,1.5,yes,300,training_grid,0.25,0.042,0.275
surrGrid_H0250_obsH0042_x0292,completed,1.5,yes,300,training_grid,0.25,0.042,0.292
surrGrid_H0250_obsH0042_x0320,completed,1.5,yes,300,training_grid,0.25,0.042,0.32
surrGrid_H0250_obsH0042_x0350,completed,1.5,yes,300,training_grid,0.25,0.042,0.35
surrGrid_H0250_obsH0042_x0380,completed,1.5,yes,300,training_grid,0.25,0.042,0.38
surrGrid_H0250_obsH0048_x0220,completed,1.5,yes,300,training_grid,0.25,0.048,0.22
surrGrid_H0250_obsH0048_x0250,completed,1.5,yes,300,training_grid,0.25,0.048,0.25
surrGrid_H0250_obsH0048_x0275,completed,1.5,yes,300,training_grid,0.25,0.048,0.275
surrGrid_H0250_obsH0048_x0292,completed,1.5,yes,300,training_grid,0.25,0.048,0.292
surrGrid_H0250_obsH0048_x0320,completed,1.5,yes,300,training_grid,0.25,0.048,0.32
surrGrid_H0250_obsH0048_x0350,completed,1.5,yes,300,training_grid,0.25,0.048,0.35
surrGrid_H0250_obsH0048_x0380,completed,1.5,yes,300,training_grid,0.25,0.048,0.38
surrGrid_H0250_obsH0060_x0220,completed,1.5,yes,300,training_grid,0.25,0.06,0.22
surrGrid_H0250_obsH0060_x0250,completed,1.5,yes,300,training_grid,0.25,0.06,0.25
surrGrid_H0250_obsH0060_x0275,completed,1.5,yes,300,training_grid,0.25,0.06,0.275
surrGrid_H0250_obsH0060_x0292,completed,1.5,yes,300,training_grid,0.25,0.06,0.292
surrGrid_H0250_obsH0060_x0320,completed,1.5,yes,300,training_grid,0.25,0.06,0.32
surrGrid_H0250_obsH0060_x0350,completed,1.5,yes,300,training_grid,0.25,0.06,0.35
surrGrid_H0250_obsH0060_x0380,completed,1.5,yes,300,training_grid,0.25,0.06,0.38
surrGrid_H0250_obsH0066_x0220,completed,1.5,yes,300,training_grid,0.25,0.066,0.22
surrGrid_H0250_obsH0066_x0250,completed,1.5,yes,300,training_grid,0.25,0.066,0.25
surrGrid_H0250_obsH0066_x0275,completed,1.5,yes,300,training_grid,0.25,0.066,0.275
surrGrid_H0250_obsH0066_x0292,completed,1.5,yes,300,training_grid,0.25,0.066,0.292
surrGrid_H0250_obsH0066_x0320,completed,1.5,yes,300,training_grid,0.25,0.066,0.32
surrGrid_H0250_obsH0066_x0350,completed,1.5,yes,300,training_grid,0.25,0.066,0.35
surrGrid_H0250_obsH0066_x0380,completed,1.5,yes,300,training_grid,0.25,0.066,0.38
surrGrid_H0250_obsH0072_x0220,completed,1.5,yes,300,training_grid,0.25,0.072,0.22
surrGrid_H0250_obsH0072_x0250,completed,1.5,yes,300,training_grid,0.25,0.072,0.25
surrGrid_H0250_obsH0072_x0275,completed,1.5,yes,300,training_grid,0.25,0.072,0.275
surrGrid_H0250_obsH0072_x0292,completed,1.5,yes,300,training_grid,0.25,0.072,0.292
surrGrid_H0250_obsH0072_x0320,completed,1.5,yes,300,training_grid,0.25,0.072,0.32
surrGrid_H0250_obsH0072_x0350,completed,1.5,yes,300,training_grid,0.25,0.072,0.35
surrGrid_H0250_obsH0072_x0380,completed,1.5,yes,300,training_grid,0.25,0.072,0.38
surrGrid_H0275_obsH0030_x0220,completed,1.5,yes,300,training_grid,0.275,0.03,0.22
surrGrid_H0275_obsH0030_x0250,completed,1.5,yes,300,training_grid,0.275,0.03,0.25
surrGrid_H0275_obsH0030_x0275,completed,1.5,yes,300,training_grid,0.275,0.03,0.275
surrGrid_H0275_obsH0030_x0292,completed,1.5,yes,300,training_grid,0.275,0.03,0.292
surrGrid_H0275_obsH0030_x0320,completed,1.5,yes,300,training_grid,0.275,0.03,0.32
surrGrid_H0275_obsH0030_x0350,completed,1.5,yes,300,training_grid,0.275,0.03,0.35
surrGrid_H0275_obsH0030_x0380,completed,1.5,yes,300,training_grid,0.275,0.03,0.38
surrGrid_H0275_obsH0036_x0220,completed,1.5,yes,300,training_grid,0.275,0.036,0.22
surrGrid_H0275_obsH0036_x0250,completed,1.5,yes,300,training_grid,0.275,0.036,0.25
surrGrid_H0275_obsH0036_x0275,completed,1.5,yes,300,training_grid,0.275,0.036,0.275
surrGrid_H0275_obsH0036_x0292,completed,1.5,yes,300,training_grid,0.275,0.036,0.292
surrGrid_H0275_obsH0036_x0320,completed,1.5,yes,300,training_grid,0.275,0.036,0.32
surrGrid_H0275_obsH0036_x0350,completed,1.5,yes,300,training_grid,0.275,0.036,0.35
surrGrid_H0275_obsH0036_x0380,completed,1.5,yes,300,training_grid,0.275,0.036,0.38
surrGrid_H0275_obsH0042_x0220,completed,1.5,yes,300,training_grid,0.275,0.042,0.22
surrGrid_H0275_obsH0042_x0250,completed,1.5,yes,300,training_grid,0.275,0.042,0.25
surrGrid_H0275_obsH0042_x0275,completed,1.5,yes,300,training_grid,0.275,0.042,0.275
surrGrid_H0275_obsH0042_x0292,completed,1.5,yes,300,training_grid,0.275,0.042,0.292
surrGrid_H0275_obsH0042_x0320,completed,1.5,yes,300,training_grid,0.275,0.042,0.32
surrGrid_H0275_obsH0042_x0350,completed,1.5,yes,300,training_grid,0.275,0.042,0.35
surrGrid_H0275_obsH0042_x0380,completed,1.5,yes,300,training_grid,0.275,0.042,0.38
surrGrid_H0275_obsH0048_x0220,completed,1.5,yes,300,training_grid,0.275,0.048,0.22
surrGrid_H0275_obsH0048_x0250,completed,1.5,yes,300,training_grid,0.275,0.048,0.25
surrGrid_H0275_obsH0048_x0275,completed,1.5,yes,300,training_grid,0.275,0.048,0.275
surrGrid_H0275_obsH0048_x0292,completed,1.5,yes,300,training_grid,0.275,0.048,0.292
surrGrid_H0275_obsH0048_x0320,completed,1.5,yes,300,training_grid,0.275,0.048,0.32
surrGrid_H0275_obsH0048_x0350,completed,1.5,yes,300,training_grid,0.275,0.048,0.35
surrGrid_H0275_obsH0048_x0380,completed,1.5,yes,300,training_grid,0.275,0.048,0.38
surrGrid_H0275_obsH0060_x0220,completed,1.5,yes,300,training_grid,0.275,0.06,0.22
surrGrid_H0275_obsH0060_x0250,completed,1.5,yes,300,training_grid,0.275,0.06,0.25
surrGrid_H0275_obsH0060_x0275,completed,1.5,yes,300,training_grid,0.275,0.06,0.275
surrGrid_H0275_obsH0060_x0292,completed,1.5,yes,300,training_grid,0.275,0.06,0.292
surrGrid_H0275_obsH0060_x0320,completed,1.5,yes,300,training_grid,0.275,0.06,0.32
surrGrid_H0275_obsH0060_x0350,completed,1.5,yes,300,training_grid,0.275,0.06,0.35
surrGrid_H0275_obsH0060_x0380,completed,1.5,yes,300,training_grid,0.275,0.06,0.38
surrGrid_H0275_obsH0066_x0220,completed,1.5,yes,300,training_grid,0.275,0.066,0.22
surrGrid_H0275_obsH0066_x0250,completed,1.5,yes,300,training_grid,0.275,0.066,0.25
surrGrid_H0275_obsH0066_x0275,completed,1.5,yes,300,training_grid,0.275,0.066,0.275
surrGrid_H0275_obsH0066_x0292,completed,1.5,yes,300,training_grid,0.275,0.066,0.292
surrGrid_H0275_obsH0066_x0320,completed,1.5,yes,300,training_grid,0.275,0.066,0.32
surrGrid_H0275_obsH0066_x0350,completed,1.5,yes,300,training_grid,0.275,0.066,0.35
surrGrid_H0275_obsH0066_x0380,completed,1.5,yes,300,training_grid,0.275,0.066,0.38
surrGrid_H0275_obsH0072_x0220,completed,1.5,yes,300,training_grid,0.275,0.072,0.22
surrGrid_H0275_obsH0072_x0250,completed,1.5,yes,300,training_grid,0.275,0.072,0.25
surrGrid_H0275_obsH0072_x0275,completed,1.5,yes,300,training_grid,0.275,0.072,0.275
surrGrid_H0275_obsH0072_x0292,completed,1.5,yes,300,training_grid,0.275,0.072,0.292
surrGrid_H0275_obsH0072_x0320,completed,1.5,yes,300,training_grid,0.275,0.072,0.32
surrGrid_H0275_obsH0072_x0350,completed,1.5,yes,300,training_grid,0.275,0.072,0.35
surrGrid_H0275_obsH0072_x0380,completed,1.5,yes,300,training_grid,0.275,0.072,0.38
surrGrid_H0292_obsH0030_x0220,completed,1.5,yes,300,training_grid,0.292,0.03,0.22
surrGrid_H0292_obsH0030_x0250,completed,1.5,yes,300,training_grid,0.292,0.03,0.25
surrGrid_H0292_obsH0030_x0275,completed,1.5,yes,300,training_grid,0.292,0.03,0.275
surrGrid_H0292_obsH0030_x0292,completed,1.5,yes,300,training_grid,0.292,0.03,0.292
surrGrid_H0292_obsH0030_x0320,completed,1.5,yes,300,training_grid,0.292,0.03,0.32
surrGrid_H0292_obsH0030_x0350,completed,1.5,yes,300,training_grid,0.292,0.03,0.35
surrGrid_H0292_obsH0030_x0380,completed,1.5,yes,300,training_grid,0.292,0.03,0.38
surrGrid_H0292_obsH0036_x0220,completed,1.5,yes,300,training_grid,0.292,0.036,0.22
surrGrid_H0292_obsH0036_x0250,completed,1.5,yes,300,training_grid,0.292,0.036,0.25
surrGrid_H0292_obsH0036_x0275,completed,1.5,yes,300,training_grid,0.292,0.036,0.275
surrGrid_H0292_obsH0036_x0292,completed,1.5,yes,300,training_grid,0.292,0.036,0.292
surrGrid_H0292_obsH0036_x0320,completed,1.5,yes,300,training_grid,0.292,0.036,0.32
surrGrid_H0292_obsH0036_x0350,completed,1.5,yes,300,training_grid,0.292,0.036,0.35
surrGrid_H0292_obsH0036_x0380,completed,1.5,yes,300,training_grid,0.292,0.036,0.38
surrGrid_H0292_obsH0042_x0220,completed,1.5,yes,300,training_grid,0.292,0.042,0.22
surrGrid_H0292_obsH0042_x0250,completed,1.5,yes,300,training_grid,0.292,0.042,0.25
surrGrid_H0292_obsH0042_x0275,completed,1.5,yes,300,training_grid,0.292,0.042,0.275
surrGrid_H0292_obsH0042_x0292,completed,1.5,yes,300,training_grid,0.292,0.042,0.292
surrGrid_H0292_obsH0042_x0320,completed,1.5,yes,300,training_grid,0.292,0.042,0.32
surrGrid_H0292_obsH0042_x0350,completed,1.5,yes,300,training_grid,0.292,0.042,0.35
surrGrid_H0292_obsH0042_x0380,completed,1.5,yes,300,training_grid,0.292,0.042,0.38
surrGrid_H0292_obsH0048_x0220,completed,1.5,yes,300,training_grid,0.292,0.048,0.22
surrGrid_H0292_obsH0048_x0250,completed,1.5,yes,300,training_grid,0.292,0.048,0.25
surrGrid_H0292_obsH0048_x0275,completed,1.5,yes,300,training_grid,0.292,0.048,0.275
surrGrid_H0292_obsH0048_x0292,completed,1.5,yes,300,training_grid,0.292,0.048,0.292
surrGrid_H0292_obsH0048_x0320,completed,1.5,yes,300,training_grid,0.292,0.048,0.32
surrGrid_H0292_obsH0048_x0350,completed,1.5,yes,300,training_grid,0.292,0.048,0.35
surrGrid_H0292_obsH0048_x0380,completed,1.5,yes,300,training_grid,0.292,0.048,0.38
surrGrid_H0292_obsH0060_x0220,completed,1.5,yes,300,training_grid,0.292,0.06,0.22
surrGrid_H0292_obsH0060_x0250,completed,1.5,yes,300,training_grid,0.292,0.06,0.25
surrGrid_H0292_obsH0060_x0275,completed,1.5,yes,300,training_grid,0.292,0.06,0.275
surrGrid_H0292_obsH0060_x0292,completed,1.5,yes,300,training_grid,0.292,0.06,0.292
surrGrid_H0292_obsH0060_x0320,completed,1.5,yes,300,training_grid,0.292,0.06,0.32
surrGrid_H0292_obsH0060_x0350,completed,1.5,yes,300,training_grid,0.292,0.06,0.35
surrGrid_H0292_obsH0060_x0380,completed,1.5,yes,300,training_grid,0.292,0.06,0.38
surrGrid_H0292_obsH0066_x0220,completed,1.5,yes,300,training_grid,0.292,0.066,0.22
surrGrid_H0292_obsH0066_x0250,completed,1.5,yes,300,training_grid,0.292,0.066,0.25
surrGrid_H0292_obsH0066_x0275,completed,1.5,yes,300,training_grid,0.292,0.066,0.275
surrGrid_H0292_obsH0066_x0292,completed,1.5,yes,300,training_grid,0.292,0.066,0.292
surrGrid_H0292_obsH0066_x0320,completed,1.5,yes,300,training_grid,0.292,0.066,0.32
surrGrid_H0292_obsH0066_x0350,completed,1.5,yes,300,training_grid,0.292,0.066,0.35
surrGrid_H0292_obsH0066_x0380,completed,1.5,yes,300,training_grid,0.292,0.066,0.38
surrGrid_H0292_obsH0072_x0220,completed,1.5,yes,300,training_grid,0.292,0.072,0.22
surrGrid_H0292_obsH0072_x0250,completed,1.5,yes,300,training_grid,0.292,0.072,0.25
surrGrid_H0292_obsH0072_x0275,completed,1.5,yes,300,training_grid,0.292,0.072,0.275
surrGrid_H0292_obsH0072_x0292,completed,1.5,yes,300,training_grid,0.292,0.072,0.292
surrGrid_H0292_obsH0072_x0320,completed,1.5,yes,300,training_grid,0.292,0.072,0.32
surrGrid_H0292_obsH0072_x0350,completed,1.5,yes,300,training_grid,0.292,0.072,0.35
surrGrid_H0292_obsH0072_x0380,completed,1.5,yes,300,training_grid,0.292,0.072,0.38
surrGrid_H0315_obsH0030_x0220,completed,1.5,yes,300,training_grid,0.315,0.03,0.22
surrGrid_H0315_obsH0030_x0250,completed,1.5,yes,300,training_grid,0.315,0.03,0.25
surrGrid_H0315_obsH0030_x0275,completed,1.5,yes,300,training_grid,0.315,0.03,0.275
surrGrid_H0315_obsH0030_x0292,completed,1.5,yes,300,training_grid,0.315,0.03,0.292
surrGrid_H0315_obsH0030_x0320,completed,1.5,yes,300,training_grid,0.315,0.03,0.32
surrGrid_H0315_obsH0030_x0350,completed,1.5,yes,300,training_grid,0.315,0.03,0.35
surrGrid_H0315_obsH0030_x0380,completed,1.5,yes,300,training_grid,0.315,0.03,0.38
surrGrid_H0315_obsH0036_x0220,completed,1.5,yes,300,training_grid,0.315,0.036,0.22
surrGrid_H0315_obsH0036_x0250,completed,1.5,yes,300,training_grid,0.315,0.036,0.25
surrGrid_H0315_obsH0036_x0275,completed,1.5,yes,300,training_grid,0.315,0.036,0.275
